P/N,Cost to cost comp,Q'ty ,total_value,status,Start Date,Time
M624279013,1.0,840,840.0,invalid date,0,20230105
M624279013,1.0,4200,4200.0,invalid date,0,20230118
C225133073,1.0,2700,2700.0,invalid date,0,20230118
C225133073,1.0,900,900.0,invalid date,0,20230118
V423988159,1.0,5000,5000.0,invalid date,0,20230118
V423988159,1.0,5000,5000.0,invalid date,0,20230118
R824279M102,1.0,2840,2840.0,invalid date,0,20230223
R824279M102,1.0,4720,4720.0,invalid date,0,20230223
R821651102,,2800,,invalid date,0,20230223
C225133073,1.0,400,400.0,no delay,20230106,20230210
C225133073,1.0,1000,1000.0,delay,20230217,20230210
R824279M102,1.0,5280,5280.0,no delay,20230210,20230224
R824279M102,1.0,4800,4800.0,delay,20230310,20230224
C225133073,1.0,3500,3500.0,no delay,20230217,20230224
C225133073,1.0,100,100.0,delay,20230402,20230224
C225133073,1.0,800,800.0,delay,20230402,20230323
C225133073,1.0,100,100.0,delay,20230505,20230323
R824279M102,1.0,5071,5071.0,no delay,20230310,20230403
R821651102,,3800,,no delay,20230402,20230403
M625133171,,4500,,no delay,20230210,20230403
V423988159,1.0,5000,5000.0,no delay,20230224,20230403
V423988159,1.0,5000,5000.0,delay,20230407,20230403
C225133073,1.0,3600,3600.0,no delay,20230402,20230403
C225133073,1.0,4400,4400.0,delay,20230505,20230426
C225133073,1.0,100,100.0,delay,20230609,20230426
M625133171,,900,,no delay,20230210,20230508
M625133171,,4500,,no delay,20230310,20230508
M921651057,1.0,4000,4000.0,no delay,20230428,20230508
M921651057,1.0,800,800.0,delay,20230526,20230508
M625133171,,5000,,no delay,20230310,20230529
M921651057,1.0,4800,4800.0,no delay,20230526,20230529
V423988159,1.0,5000,5000.0,invalid date,0,20230529
C225133073,1.0,3600,3600.0,delay,20230609,20230529
P/N,Ref Document,Ref Date
R824279M102,20230501-H01 R824279M102 Revised 20230803,20230501
R824279M102,20230531-C01 R824279M102 Revised 20230803,20230531
